              Nx_fine/Nx_coarse         T_serial                T_parareal          para_iter       para_err_state        para_err_energy    T_serial/T_parareal
                     1                   8531                   4756                      2 2.0762140108178012e-14  3.980529427369031e-14     1.7937342304457526
                     2                   8597                   7244                      4  5.704864023413999e-07 1.7295855844532586e-05     1.1867752622860299
                     4                   8706                   8158                      5 6.0118371630983255e-07 2.5953653679868901e-05     1.0671733267957833
                     8                   8813                   8344                      5 6.4512052252491625e-07 3.0319054150124399e-05     1.0562080536912752
                    16                   8937                   8667                      5  6.746215427568112e-07 3.2438536091979379e-05     1.0311526479750779
                    32                   9409                   9342                      5 6.9639669203884841e-07 3.3552877640364103e-05     1.0071719117961893
                    64                  10274                  10636                      5  5.146609326195493e-07 3.4073095894749346e-05    0.96596464836404661
                   128                  12021                  13746                      5 5.1063784159507694e-07 3.4073071405684151e-05    0.87450894805761681
                   256                  15201                  21548                      5 5.0863739093559775e-07  3.407305813800912e-05     0.7054483014664934
                   512                  23546                  42520                      5   5.07639997301699e-07 3.4073037868944543e-05    0.55376293508936969
